2022-12-15 18:12:51.7126 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Steam/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 26.
2022-12-15 18:12:51.7643 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Jellyfin/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:12:51.7732 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/GOG/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 23.
2022-12-15 18:12:51.7817 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/EpicGames/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 26.
2022-12-15 18:12:51.7896 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Emby/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:14:58.9328 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Steam/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 26.
2022-12-15 18:14:58.9859 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Jellyfin/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:14:58.9962 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/GOG/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 23.
2022-12-15 18:14:59.0063 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/EpicGames/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 26.
2022-12-15 18:14:59.0155 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Emby/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:15:49.4100 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Steam/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 26.
2022-12-15 18:15:49.4606 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Jellyfin/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:15:49.4697 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/GOG/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 23.
2022-12-15 18:15:49.4785 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/EpicGames/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 26.
2022-12-15 18:15:49.4867 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Emby/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:16:47.3973 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Steam/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 26.
2022-12-15 18:16:47.4513 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Jellyfin/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:16:47.4623 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/GOG/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 23.
2022-12-15 18:16:47.4716 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/EpicGames/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 26.
2022-12-15 18:16:47.4805 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Emby/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:18:50.7078 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Steam/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 26.
2022-12-15 18:18:50.7635 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Jellyfin/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-15 18:18:50.7735 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/GOG/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 23.
2022-12-15 18:18:50.7840 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/EpicGames/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 26.
2022-12-15 18:18:50.7925 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Emby/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
