2022-12-14 10:49:22.2353 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/EpicGames/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 26.
2022-12-14 10:49:22.2434 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Emby/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-14 10:49:45.4681 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Steam/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 26.
2022-12-14 10:49:45.5234 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Jellyfin/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-14 10:49:45.5319 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/GOG/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 23.
2022-12-14 10:49:45.5402 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/EpicGames/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 26.
2022-12-14 10:49:45.5478 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Emby/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-14 14:00:43.8632 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Steam/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 26.
2022-12-14 14:00:43.9145 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Jellyfin/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
2022-12-14 14:00:43.9248 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/GOG/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 23.
2022-12-14 14:00:43.9333 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/EpicGames/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 4 | BytePositionInLine: 26.
2022-12-14 14:00:43.9408 [ERROR] => Failed parsing app '/home/john/src/Fenrus/Dotnet/Apps/Smart/Emby/app.json': The JSON value could not be converted to System.Nullable`1[Fenrus.ItemSize]. Path: $.DefaultSize | LineNumber: 5 | BytePositionInLine: 25.
